"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2023","2.7705","2.7458","2.8369","2.7220","28.89K","0.90%"
"07/21/2023","2.7457","2.6740","2.7507","2.6694","22.41K","3.05%"
"07/20/2023","2.6644","2.6434","2.6736","2.6184","29.65K","0.86%"
"07/19/2023","2.6418","2.6145","2.6774","2.5990","33.04K","1.63%"
"07/18/2023","2.5994","2.5684","2.6122","2.5588","26.67K","1.37%"
"07/17/2023","2.5642","2.5825","2.6227","2.5488","34.43K","-1.30%"
"07/14/2023","2.5979","2.6181","2.6349","2.5706","51.57K","-0.48%"
"07/13/2023","2.6104","2.6059","2.6332","2.5787","52.40K","0.42%"
"07/12/2023","2.5996","2.5769","2.6250","2.5714","52.99K","0.62%"
"07/11/2023","2.5837","2.5589","2.5962","2.5455","39.77K","1.19%"
"07/10/2023","2.5532","2.5623","2.5830","2.5291","41.62K","-0.23%"
"07/07/2023","2.5591","2.4864","2.5628","2.4807","49.17K","3.21%"
"07/06/2023","2.4794","2.4980","2.5009","2.4323","46.64K","-0.56%"
"07/05/2023","2.4933","2.3922","2.5053","2.3850","66.64K","2.42%"
"07/04/2023","2.4345","2.3896","2.4479","2.3852","","2.41%"
"07/03/2023","2.3773","2.4366","2.4682","2.3750","47.63K","-2.90%"
"06/30/2023","2.4482","2.4250","2.4648","2.4020","2.09K","1.35%"
"06/29/2023","2.4156","2.4046","2.4518","2.3887","10.10K","0.37%"
"06/28/2023","2.4067","2.4176","2.4362","2.3708","16.02K","0.32%"
"06/27/2023","2.3990","2.4526","2.4800","2.3899","21.23K","-1.63%"
"06/26/2023","2.4388","2.4260","2.4651","2.4096","27.50K","1.32%"
"06/23/2023","2.4071","2.4697","2.4705","2.3816","27.90K","-2.37%"
"06/22/2023","2.4655","2.5587","2.5760","2.4470","34.59K","-3.85%"
"06/21/2023","2.5642","2.4639","2.5684","2.4530","43.20K","3.59%"
"06/20/2023","2.4754","2.5514","2.5539","2.4417","49.20K","-1.35%"
"06/19/2023","2.5094","2.5446","2.5450","2.4980","","-1.39%"
"06/18/2023","2.5447","2.5530","2.5530","2.5429","","-0.26%"
"06/16/2023","2.5514","2.4825","2.5562","2.4735","54.97K","2.90%"
"06/15/2023","2.4796","2.3646","2.4900","2.3445","48.21K","5.17%"
"06/14/2023","2.3577","2.3930","2.4323","2.3514","54.13K","-1.58%"
"06/13/2023","2.3955","2.3147","2.4088","2.3118","48.30K","3.74%"
"06/12/2023","2.3091","2.3607","2.3607","2.2970","49.80K","-2.20%"
"06/09/2023","2.3610","2.3828","2.4030","2.3593","39.42K","-1.21%"
"06/08/2023","2.3898","2.4042","2.4263","2.3174","55.62K","-0.50%"
"06/07/2023","2.4018","2.3600","2.4137","2.3420","56.31K","1.44%"
"06/06/2023","2.3678","2.3745","2.3828","2.3279","37.28K","-0.41%"
"06/05/2023","2.3775","2.4100","2.4286","2.3648","43.93K","0.87%"
"06/02/2023","2.3569","2.3174","2.3797","2.3115","52.56K","1.82%"
"06/01/2023","2.3147","2.2400","2.3358","2.2352","53.59K","2.44%"
"05/31/2023","2.2596","2.2652","2.2879","2.2367","2.89K","-0.93%"
"05/30/2023","2.2808","2.3838","2.3874","2.2750","19.23K","-3.73%"
"05/29/2023","2.3692","2.3635","2.3635","2.3385","0.38K","0.00%"
"05/26/2023","2.3693","2.3413","2.3913","2.3312","20.73K","0.98%"
