"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2023","2.1590","2.1412","2.2126","2.1076","2.88K","0.49%"
"12/17/2023","2.1484","2.1413","2.1487","2.1393","","0.53%"
"12/15/2023","2.1370","2.1261","2.1529","2.1076","5.32K","0.86%"
"12/14/2023","2.1188","2.0404","2.1290","2.0404","13.78K","4.64%"
"12/13/2023","2.0249","1.9859","2.0349","1.9695","11.56K","2.28%"
"12/12/2023","1.9797","2.0508","2.0548","1.9708","10.03K","-3.10%"
"12/11/2023","2.0431","2.0683","2.0683","2.0345","9.86K","-0.80%"
"12/10/2023","2.0596","2.0534","2.0602","2.0534","","0.48%"
"12/08/2023","2.0498","2.0141","2.0637","2.0141","6.16K","2.43%"
"12/07/2023","2.0012","2.0383","2.0490","2.0005","6.45K","-1.43%"
"12/06/2023","2.0302","2.1128","2.1128","2.0195","6.63K","-3.80%"
"12/05/2023","2.1103","2.1445","2.1652","2.1086","7.20K","-1.12%"
"12/04/2023","2.1342","2.1384","2.1556","2.0928","8.87K","-0.08%"
"12/03/2023","2.1359","2.1331","2.1404","2.1273","","0.70%"
"12/01/2023","2.1211","2.1648","2.1977","2.1164","10.15K","-2.51%"
"11/30/2023","2.1758","2.2470","2.2750","2.1549","10.63K","-4.72%"
"11/29/2023","2.2836","2.2063","2.2503","2.1616","0.44K","2.40%"
"11/28/2023","2.2300","2.2015","2.2361","2.1931","0.52K","2.30%"
"11/27/2023","2.1799","2.1565","2.2120","2.1565","1.07K","1.76%"
"11/26/2023","2.1423","2.1401","2.1440","2.1379","","-1.05%"
"11/24/2023","2.1651","2.2154","2.2442","2.1742","0.59K","-2.60%"
"11/23/2023","2.2230","2.2156","2.2176","2.2062","0.14K","-0.42%"
"11/22/2023","2.2324","2.2355","2.2355","2.1350","0.87K","-0.06%"
"11/21/2023","2.2338","2.2218","2.2374","2.1955","0.92K","0.35%"
"11/20/2023","2.2260","2.1913","2.2571","2.1913","0.95K","1.86%"
"11/19/2023","2.1853","2.1767","2.1864","2.1767","","1.43%"
"11/17/2023","2.1544","2.0809","2.1605","2.0705","12.99K","3.78%"
"11/16/2023","2.0760","2.1648","2.1722","2.0700","12.41K","-4.78%"
"11/15/2023","2.1803","2.2000","2.2078","2.1500","20.38K","-1.91%"
"11/14/2023","2.2228","2.2403","2.2737","2.2140","5.88K","-0.59%"
"11/13/2023","2.2359","2.1625","2.2428","2.1577","4.90K","2.68%"
"11/12/2023","2.1776","2.1751","2.1804","2.1749","","-0.54%"
"11/10/2023","2.1895","2.1699","2.2046","2.1699","5.31K","1.33%"
"11/09/2023","2.1608","2.1376","2.1947","2.1236","5.39K","1.52%"
"11/08/2023","2.1285","2.1601","2.1769","2.1229","4.83K","-1.81%"
"11/07/2023","2.1677","2.2333","2.2333","2.1578","5.18K","-3.05%"
"11/06/2023","2.2359","2.2048","2.2607","2.2048","3.00K","1.43%"
"11/05/2023","2.2043","2.1994","2.2045","2.1994","","0.15%"
"11/03/2023","2.2010","2.2501","2.2580","2.1842","3.47K","-2.00%"
"11/02/2023","2.2460","2.2006","2.2499","2.1852","4.29K","2.77%"
"11/01/2023","2.1855","2.2174","2.2801","2.1826","3.80K","-1.43%"
"10/31/2023","2.2173","2.2206","2.2508","2.2092","5.42K","-0.12%"
"10/30/2023","2.2200","2.2618","2.2621","2.2553","0.12K","-2.90%"
"10/29/2023","2.2862","2.2879","2.2894","2.2682","","-1.14%"
"10/27/2023","2.3125","2.2995","2.3145","2.2735","0.31K","2.50%"
"10/26/2023","2.2561","2.2658","2.2835","2.2452","0.22K","-1.23%"
"10/25/2023","2.2842","2.2826","2.2931","2.2439","0.51K","0.73%"
"10/24/2023","2.2676","2.3302","2.3397","2.2490","0.57K","-2.62%"
"10/23/2023","2.3285","2.3630","2.3745","2.3249","0.29K","-1.55%"
"10/22/2023","2.3652","2.3682","2.3685","2.3632","","-0.35%"
"10/20/2023","2.3736","2.3747","2.3978","2.3667","0.38K","0.50%"
"10/19/2023","2.3617","2.3150","2.3778","2.3150","1.28K","0.35%"
"10/18/2023","2.3535","2.3154","2.3578","2.2991","1.90K","3.02%"
"10/17/2023","2.2845","2.2779","2.3023","2.2603","4.53K","0.51%"
"10/16/2023","2.2730","2.2627","2.2898","2.2540","1.84K","0.33%"
"10/15/2023","2.2655","2.2574","2.2738","2.2565","","0.01%"
"10/13/2023","2.2653","2.1900","2.2693","2.1900","3.34K","4.63%"
"10/12/2023","2.1650","2.1887","2.2261","2.1553","3.35K","-2.04%"
"10/11/2023","2.2101","2.2666","2.2783","2.1934","2.49K","-2.14%"
"10/10/2023","2.2584","2.2420","2.2650","2.2262","3.09K","0.91%"
"10/09/2023","2.2381","2.2421","2.2790","2.2211","2.30K","-0.58%"
"10/08/2023","2.2511","2.2374","2.2664","2.2355","","2.69%"
"10/06/2023","2.1922","2.2056","2.2210","2.1807","2.18K","0.15%"
"10/05/2023","2.1890","2.2000","2.2209","2.1730","2.45K","-0.41%"
"10/04/2023","2.1980","2.3385","2.3398","2.1954","2.81K","-6.87%"
"10/03/2023","2.3601","2.3980","2.4128","2.3398","4.25K","-2.16%"
"10/02/2023","2.4122","2.3979","2.4360","2.3941","4.43K","0.50%"
"10/01/2023","2.4003","2.3982","2.4024","2.3940","","0.03%"
"09/29/2023","2.3995","2.4735","2.4845","2.3951","7.69K","-4.22%"
"09/28/2023","2.5053","2.5633","2.5688","2.4649","0.21K","-3.59%"
"09/27/2023","2.5986","2.5755","2.6258","2.5755","0.26K","1.42%"
"09/26/2023","2.5622","2.5073","2.5765","2.5020","2.53K","0.72%"
"09/25/2023","2.5439","2.5758","2.5758","2.5377","0.16K","0.25%"
"09/24/2023","2.5375","2.5234","2.5381","2.5232","","-0.95%"
"09/22/2023","2.5618","2.6216","2.6466","2.5609","0.98K","-2.22%"
"09/21/2023","2.6199","2.6026","2.6456","2.5847","0.77K","0.03%"
"09/20/2023","2.6192","2.6576","2.6680","2.6138","1.01K","-1.46%"
"09/19/2023","2.6581","2.7026","2.7219","2.6528","3.13K","-1.48%"
"09/18/2023","2.6979","2.7080","2.7285","2.6815","2.42K","-0.35%"
"09/17/2023","2.7073","2.7118","2.7127","2.7045","","-0.03%"
"09/15/2023","2.7081","2.7461","2.7627","2.6854","3.20K","1.07%"
"09/14/2023","2.6794","2.6688","2.6985","2.6645","12.64K","0.62%"
"09/13/2023","2.6630","2.6445","2.6681","2.6302","12.90K","0.29%"
"09/12/2023","2.6552","2.6510","2.6665","2.6257","14.31K","0.71%"
"09/11/2023","2.6365","2.5748","2.6435","2.5748","22.49K","-0.57%"
"09/10/2023","2.6516","2.6558","2.6558","2.6503","","2.53%"
"09/08/2023","2.5862","2.5517","2.6184","2.5451","23.20K","1.27%"
"09/07/2023","2.5537","2.5541","2.5780","2.5263","15.45K","0.74%"
"09/06/2023","2.5349","2.5246","2.5615","2.4961","12.31K","0.80%"
"09/05/2023","2.5147","2.5097","2.5725","2.5001","13.38K","-0.34%"
"09/04/2023","2.5232","2.5105","2.5354","2.5080","2.98K","-2.73%"
"09/03/2023","2.5939","2.5934","2.5989","2.5928","","3.24%"
"09/01/2023","2.5124","2.4826","2.5230","2.4822","12.79K","1.29%"
"08/31/2023","2.4803","2.4863","2.5048","2.4539","22.03K","-3.38%"
"08/30/2023","2.5671","2.5482","2.5853","2.5392","15.71K","0.41%"
"08/29/2023","2.5565","2.5751","2.5855","2.5197","11.47K","-0.41%"
"08/28/2023","2.5669","2.6299","2.6299","2.5504","8.37K","-2.47%"
"08/27/2023","2.6319","2.6459","2.6469","2.6315","","-0.50%"
