Date,Price,Open,High,Low,Vol.,Change %
10/23/2023,2.3285,2.363,2.3745,2.3249,0.29K,-1.55%
10/22/2023,2.3652,2.3682,2.3685,2.3632,,-0.35%
10/20/2023,2.3736,2.3747,2.3978,2.3667,0.38K,0.50%
10/19/2023,2.3617,2.315,2.3778,2.315,1.28K,0.35%
10/18/2023,2.3535,2.3154,2.3578,2.2991,1.90K,3.02%
10/17/2023,2.2845,2.2779,2.3023,2.2603,4.53K,0.51%
10/16/2023,2.273,2.2627,2.2898,2.254,1.84K,0.33%
10/15/2023,2.2655,2.2574,2.2738,2.2565,,0.01%
10/13/2023,2.2653,2.19,2.2693,2.19,3.34K,4.63%
10/12/2023,2.165,2.1887,2.2261,2.1553,3.35K,-2.04%
10/11/2023,2.2101,2.2666,2.2783,2.1934,2.49K,-2.14%
10/10/2023,2.2584,2.242,2.265,2.2262,3.09K,0.91%
10/9/2023,2.2381,2.2421,2.279,2.2211,2.30K,-0.58%
10/8/2023,2.2511,2.2374,2.2664,2.2355,,2.69%
10/6/2023,2.1922,2.2056,2.221,2.1807,2.18K,0.15%
10/5/2023,2.189,2.2,2.2209,2.173,2.45K,-0.41%
10/4/2023,2.198,2.3385,2.3398,2.1954,2.81K,-6.87%
10/3/2023,2.3601,2.398,2.4128,2.3398,4.25K,-2.16%
10/2/2023,2.4122,2.3979,2.436,2.3941,4.43K,0.50%
10/1/2023,2.4003,2.3982,2.4024,2.394,,0.03%
9/29/2023,2.3995,2.4735,2.4845,2.3951,7.69K,-4.22%
9/28/2023,2.5053,2.5633,2.5688,2.4649,0.21K,-3.59%
9/27/2023,2.5986,2.5755,2.6258,2.5755,0.26K,1.42%
9/26/2023,2.5622,2.5073,2.5765,2.502,2.53K,0.72%
9/25/2023,2.5439,2.5758,2.5758,2.5377,0.16K,0.25%
9/24/2023,2.5375,2.5234,2.5381,2.5232,,-0.95%
9/22/2023,2.5618,2.6216,2.6466,2.5609,0.98K,-2.22%
9/21/2023,2.6199,2.6026,2.6456,2.5847,0.77K,0.03%
9/20/2023,2.6192,2.6576,2.668,2.6138,1.01K,-1.46%
9/19/2023,2.6581,2.7026,2.7219,2.6528,3.13K,-1.48%
9/18/2023,2.6979,2.708,2.7285,2.6815,2.42K,-0.35%
9/17/2023,2.7073,2.7118,2.7127,2.7045,,-0.03%
9/15/2023,2.7081,2.7461,2.7627,2.6854,3.20K,1.07%
9/14/2023,2.6794,2.6688,2.6985,2.6645,12.64K,0.62%
9/13/2023,2.663,2.6445,2.6681,2.6302,12.90K,0.29%
9/12/2023,2.6552,2.651,2.6665,2.6257,14.31K,0.71%
9/11/2023,2.6365,2.5748,2.6435,2.5748,22.49K,-0.57%
9/10/2023,2.6516,2.6558,2.6558,2.6503,,2.53%
9/8/2023,2.5862,2.5517,2.6184,2.5451,23.20K,1.27%
9/7/2023,2.5537,2.5541,2.578,2.5263,15.45K,0.74%
9/6/2023,2.5349,2.5246,2.5615,2.4961,12.31K,0.80%
9/5/2023,2.5147,2.5097,2.5725,2.5001,13.38K,-0.34%
9/4/2023,2.5232,2.5105,2.5354,2.508,2.98K,-2.73%
