Date,Price,Open,High,Low,Vol.,Change %
1/3/2024,2.6044,2.53,2.6232,2.5075,49.21K,3.11%
1/2/2024,2.5258,2.5533,2.5956,2.5108,55.84K,-1.41%
1/1/2024,2.562,2.572,2.5732,2.5591,,0.35%
12/29/2023,2.5531,2.56,2.5967,2.5319,4.96K,-0.13%
12/28/2023,2.5563,2.6196,2.6344,2.5516,14.82K,-2.58%
12/27/2023,2.6239,2.6617,2.6914,2.6197,16.58K,-1.68%
12/26/2023,2.6688,2.652,2.7317,2.6473,19.57K,1.41%
12/25/2023,2.6317,2.6242,2.633,2.6242,,-1.11%
12/22/2023,2.6612,2.7009,2.7305,2.6525,24.41K,-1.32%
12/21/2023,2.6968,2.6935,2.715,2.66,19.17K,-0.43%
12/20/2023,2.7085,2.7291,2.7685,2.6947,27.59K,-0.31%
12/19/2023,2.7168,2.682,2.7321,2.6512,28.84K,1.65%
12/18/2023,2.6728,2.6298,2.7329,2.6036,38.98K,1.98%
12/15/2023,2.6208,2.5974,2.6563,2.5819,56.27K,1.14%
12/14/2023,2.5913,2.5568,2.6115,2.5559,42.48K,1.70%
12/13/2023,2.5481,2.5186,2.5665,2.4838,47.47K,1.62%
12/12/2023,2.5074,2.6069,2.6281,2.5,54.72K,-3.88%
12/11/2023,2.6087,2.58,2.6224,2.5618,52.88K,1.07%
12/8/2023,2.581,2.5668,2.6181,2.5553,52.41K,1.25%
12/7/2023,2.5492,2.581,2.62,2.5468,53.62K,-1.05%
12/6/2023,2.5762,2.6303,2.6543,2.5611,50.26K,-2.46%
12/5/2023,2.6411,2.6668,2.707,2.6279,49.71K,-0.70%
12/4/2023,2.6597,2.6684,2.7053,2.6337,49.08K,-0.07%
12/1/2023,2.6615,2.743,2.7617,2.6597,62.37K,-5.97%
11/30/2023,2.8305,2.878,2.9273,2.7961,4.89K,-2.01%
11/29/2023,2.8885,2.8823,2.9127,2.8117,25.17K,-0.64%
11/28/2023,2.907,2.8399,2.923,2.83,20.53K,2.43%
11/27/2023,2.8379,2.823,2.8778,2.7973,27.02K,0.08%
11/24/2023,2.8357,2.8781,2.9059,2.8183,16.20K,-1.09%
11/23/2023,2.867,2.8708,2.9023,2.8445,,-0.76%
11/22/2023,2.8891,2.9326,2.936,2.8129,33.07K,-1.22%
11/21/2023,2.9249,2.8502,2.9389,2.8223,38.46K,2.65%
11/20/2023,2.8495,2.7641,2.8622,2.7469,27.45K,5.00%
11/17/2023,2.7139,2.6703,2.743,2.646,65.05K,1.56%
11/16/2023,2.6722,2.7901,2.8023,2.6599,52.90K,-4.26%
11/15/2023,2.7911,2.7745,2.8029,2.745,60.31K,-1.62%
11/14/2023,2.8371,2.8428,2.884,2.8089,51.12K,-0.08%
11/13/2023,2.8393,2.7401,2.8448,2.7134,50.38K,3.51%
11/10/2023,2.7431,2.7178,2.79,2.698,49.87K,0.88%
11/9/2023,2.7191,2.7567,2.7628,2.696,56.57K,-1.09%
11/8/2023,2.7492,2.8191,2.8365,2.7425,59.14K,-3.14%
11/7/2023,2.8384,2.959,2.9608,2.8162,55.09K,-3.86%
11/6/2023,2.9524,2.9209,2.9728,2.9121,45.86K,0.98%
11/3/2023,2.9238,3.0188,3.0476,2.9044,62.39K,-3.36%
11/2/2023,3.0255,2.9678,3.04,2.9553,57.34K,2.16%
11/1/2023,2.9615,2.9281,3.0003,2.9099,60.84K,-0.99%
10/31/2023,2.991,2.9811,3.031,2.9811,3.85K,0.83%
10/30/2023,2.9663,3.0369,3.046,2.942,16.20K,-2.80%
10/27/2023,3.0519,3.05,3.09,2.98,17.84K,0.26%
10/26/2023,3.0439,3.02,3.0546,2.9697,19.61K,0.44%
10/25/2023,3.0305,3.0433,3.0469,2.9501,22.87K,-0.47%
10/24/2023,3.0449,3.1054,3.1099,3.001,29.23K,-1.63%
10/23/2023,3.0955,3.1566,3.1789,3.0776,28.65K,-1.94%
10/20/2023,3.1566,3.183,3.222,3.1508,27.22K,-0.52%
10/19/2023,3.173,3.1365,3.186,3.0793,39.96K,1.07%
10/18/2023,3.1393,3.1789,3.212,3.115,54.46K,-1.18%
10/17/2023,3.1767,3.1583,3.1808,3.0956,48.69K,0.87%
10/16/2023,3.1492,3.2151,3.2515,3.1415,50.15K,-1.95%
10/13/2023,3.2117,3.0489,3.2172,3.04,59.15K,5.48%
10/12/2023,3.0449,3.0041,3.0559,2.9895,51.02K,1.55%
10/11/2023,2.9985,3.0207,3.0555,2.9335,49.68K,-0.72%
10/10/2023,3.0201,2.98,3.0373,2.9485,55.02K,1.80%
10/9/2023,2.9666,2.9498,3.0258,2.9236,44.91K,2.27%
10/6/2023,2.9008,2.8829,2.9622,2.8336,66.51K,1.12%
10/5/2023,2.8687,3.0244,3.0306,2.8617,74.94K,-4.94%
10/4/2023,3.0178,3.1912,3.1975,3.0023,66.25K,-5.56%
10/3/2023,3.1954,3.2204,3.2276,3.1276,60.61K,-0.84%
10/2/2023,3.2225,3.2897,3.3464,3.2027,56.91K,-4.16%
9/29/2023,3.3622,3.3451,3.4066,3.3328,2.43K,1.33%
9/28/2023,3.318,3.3102,3.3655,3.297,19.26K,0.10%
9/27/2023,3.3147,3.2501,3.3356,3.2187,16.70K,2.82%
9/26/2023,3.2238,3.2644,3.2712,3.186,23.79K,-1.18%
9/25/2023,3.2622,3.3366,3.3482,3.2491,24.82K,-1.33%
9/22/2023,3.3062,3.3682,3.4294,3.3045,30.75K,-1.83%
9/21/2023,3.368,3.3159,3.4781,3.3,37.99K,1.24%
9/20/2023,3.3268,3.3989,3.418,3.292,37.16K,-1.40%
9/19/2023,3.3739,3.2976,3.4127,3.275,41.93K,2.60%
9/18/2023,3.2883,3.3966,3.4116,3.2699,42.76K,-2.81%
9/15/2023,3.3834,3.4749,3.4937,3.3734,55.40K,-2.82%
9/14/2023,3.4815,3.4349,3.5092,3.3967,55.40K,1.34%
9/13/2023,3.4354,3.3243,3.4426,3.3205,66.22K,3.22%
9/12/2023,3.3283,3.3543,3.3927,3.3097,53.14K,-1.01%
9/11/2023,3.3622,3.2994,3.4027,3.2667,62.63K,1.91%
9/8/2023,3.2991,3.2213,3.327,3.2081,62.42K,2.70%
9/7/2023,3.2123,3.194,3.229,3.1527,47.35K,0.61%
9/6/2023,3.1927,3.2234,3.2296,3.1309,50.25K,-0.84%
9/5/2023,3.2196,3.1215,3.252,3.0911,73.77K,2.64%
9/4/2023,3.1368,3.1143,3.1444,3.0911,,0.70%
9/3/2023,3.1151,3.1162,3.1196,3.1138,,0.33%
9/1/2023,3.105,3.1165,3.1709,3.098,65.92K,-1.20%
8/31/2023,3.1426,3.101,3.1569,3.0638,4.40K,1.50%
8/30/2023,3.0962,3.2037,3.2149,3.0925,19.63K,-3.53%
8/29/2023,3.2095,3.1866,3.2265,3.1482,14.51K,0.18%
8/28/2023,3.2037,3.311,3.32,3.1829,21.17K,-3.14%
8/25/2023,3.3075,3.1533,3.3355,3.1471,31.60K,4.79%
