Date,Price,Open,High,Low,Vol.,Change %
12/27/2021,75.57,73.38,76.09,72.57,268.49K,2.41%
12/23/2021,73.79,73.03,73.95,72.27,270.22K,1.42%
12/22/2021,72.76,71.27,73.16,70.8,306.71K,2.31%
12/21/2021,71.12,69.21,71.55,68.56,358.78K,4.24%
12/20/2021,68.23,70.07,70.07,66.04,36.73K,-3.71%
12/17/2021,70.86,71.92,72.26,69.89,78.13K,-2.10%
12/16/2021,72.38,71.48,72.99,71.03,142.54K,2.13%
12/15/2021,70.87,70.35,71.66,69.39,294.34K,0.20%
12/14/2021,70.73,71.12,72.03,69.51,359.45K,-0.79%
12/13/2021,71.29,72.04,73,70.71,406.60K,-0.53%
12/10/2021,71.67,70.68,72.33,70.32,397.88K,1.03%
12/9/2021,70.94,72.52,73.34,70.39,393.21K,-1.96%
12/8/2021,72.36,71.86,73,70.91,464.85K,0.43%
12/7/2021,72.05,69.72,73.03,69.52,496.53K,3.68%
12/6/2021,69.49,67.02,70.15,66.72,401.06K,4.87%
12/3/2021,66.26,67.5,69.22,65.6,449.97K,-0.36%
12/2/2021,66.5,65.63,67.49,62.43,668.29K,1.42%
12/1/2021,65.57,67.01,69.49,64.84,602.45K,-0.92%
11/30/2021,66.18,70.04,71.22,64.43,722.48K,-5.39%
11/29/2021,69.95,69.23,72.93,68.86,675.09K,2.64%
11/26/2021,68.15,78.34,78.65,67.4,844.63K,-11.96%
11/25/2021,77.41,78.38,78.65,77.28,,-1.25%
11/24/2021,78.39,78.48,79.23,77.98,328.85K,-0.14%
11/23/2021,78.5,76.46,78.86,75.3,506.99K,2.28%
11/22/2021,76.75,75.75,77.16,74.76,465.77K,0.85%
11/19/2021,76.1,78.76,79.92,75.37,30.70K,-3.68%
11/18/2021,79.01,78.34,79.36,77.08,83.98K,0.83%
11/17/2021,78.36,80.54,80.69,77.69,174.47K,-2.97%
11/16/2021,80.76,80.93,81.81,80.03,325.67K,-0.15%
11/15/2021,80.88,80.66,81.2,79.3,343.48K,0.11%
11/12/2021,80.79,81.21,81.62,79.78,390.30K,-0.98%
11/11/2021,81.59,81.41,82.33,80.2,475.44K,0.31%
11/10/2021,81.34,84.53,84.97,80.81,555.22K,-3.34%
11/9/2021,84.15,82.16,84.63,81.78,504.83K,2.71%
11/8/2021,81.93,81.13,82.67,81.05,393.95K,0.81%
11/5/2021,81.27,79.37,81.8,78.96,531.05K,3.12%
11/4/2021,78.81,80.18,83.42,78.25,701.12K,-2.54%
11/3/2021,80.86,83.07,83.08,79.69,546.58K,-3.63%
11/2/2021,83.91,83.87,84.41,82.92,429.61K,-0.17%
11/1/2021,84.05,83.36,84.88,82.74,412.31K,0.57%
10/29/2021,83.57,83.09,83.74,81.41,507.31K,0.92%
10/28/2021,82.81,82.25,83.21,80.58,491.59K,0.18%
10/27/2021,82.66,84.39,84.51,82.01,529.95K,-2.35%
10/26/2021,84.65,83.72,84.88,82.97,467.72K,1.06%
10/25/2021,83.76,83.98,85.41,83.39,568.73K,0.00%
10/22/2021,83.76,82.61,84.22,81.76,465.36K,1.53%
10/21/2021,82.5,83.58,83.96,80.79,567.50K,-1.63%
10/20/2021,83.87,83.34,84.25,81.3,25.72K,1.10%
10/19/2021,82.96,82.37,83.74,81.8,82.61K,0.63%
10/18/2021,82.44,82.6,83.87,81.84,134.10K,0.19%
10/15/2021,82.28,81.48,82.66,81.39,277.95K,1.19%
10/14/2021,81.31,80.59,81.68,80.38,399.81K,1.08%
10/13/2021,80.44,80.58,81.04,79.42,487.22K,-0.25%
10/12/2021,80.64,80.5,81.62,79.47,598.18K,0.15%
10/11/2021,80.52,79.59,82.18,79.55,653.76K,1.47%
10/8/2021,79.35,78.86,80.11,78.63,662.01K,1.34%
10/7/2021,78.3,77,78.89,74.96,545.01K,1.12%
10/6/2021,77.43,79.04,79.78,76.83,459.06K,-1.90%
10/5/2021,78.93,77.58,79.48,77.47,449.62K,1.69%
10/4/2021,77.62,75.9,78.38,75.32,458.01K,2.29%
10/1/2021,75.88,75.12,75.99,74.23,389.00K,1.13%
9/30/2021,75.03,74.78,76.07,73.14,583.19K,0.27%
9/29/2021,74.83,74.38,75.79,73.74,424.19K,-0.61%
9/28/2021,75.29,75.43,76.67,74.24,476.14K,-0.21%
9/27/2021,75.45,74.19,75.75,74.16,417.83K,1.99%
9/24/2021,73.98,73.24,74.27,72.81,350.38K,0.93%
9/23/2021,73.3,71.97,73.5,71.61,403.41K,1.48%
9/22/2021,72.23,70.85,72.3,70.64,381.06K,2.37%
9/21/2021,70.56,70.59,71.63,69.67,37.61K,0.38%
9/20/2021,70.29,71.92,72.08,69.86,75.84K,-2.33%
9/17/2021,71.97,72.62,72.72,71.21,119.93K,-0.88%
9/16/2021,72.61,72.65,72.99,71.53,298.41K,0.00%
9/15/2021,72.61,70.76,73.14,70.65,418.67K,3.05%
9/14/2021,70.46,70.64,71.22,69.98,414.23K,0.01%
9/13/2021,70.45,69.74,70.97,69.51,390.94K,1.05%
9/10/2021,69.72,67.97,69.96,67.68,411.08K,2.32%
9/9/2021,68.14,69.36,69.89,67.56,556.45K,-1.67%
9/8/2021,69.3,68.37,69.75,68.31,389.33K,1.39%
9/7/2021,68.35,69.11,69.48,67.64,481.70K,-0.65%
9/6/2021,68.8,68.75,69.47,68.27,,0.07%
9/5/2021,68.75,69.22,69.23,68.73,,-0.78%
9/3/2021,69.29,69.76,70.53,69.05,313.09K,-1.00%
